"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType","startdate","starttime","subject_id"
"500","80","49.99","50.00","30","reward","0","html-keyboard-response","273","233827","0.0-4.0-2.0-1.0-0.3","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"324.90000000596046","81","0.96","5.00","7","reward","0","html-keyboard-response","276","236159","0.0-4.0-2.0-1.0-0.4","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"585.7999999821186","80","17.86","50.00","180","reward","0","html-keyboard-response","279","238751","0.0-4.0-2.0-1.0-0.5","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"290.59999999403954","80","1.92","10.00","7","reward","0","html-keyboard-response","282","241047","0.0-4.0-2.0-1.0-0.6","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"569.1999999880791","81","2.63","50.00","30","reward","1","html-keyboard-response","285","243624","0.0-4.0-2.0-1.0-0.7","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"324.60000002384186","81","3.57","10.00","180","reward","1","html-keyboard-response","288","245956","0.0-4.0-2.0-1.0-0.8","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"329.19999998807907","81","2.15","10.00","365","reward","0","html-keyboard-response","291","248291","0.0-4.0-2.0-1.0-0.9","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"314.2999999821186","80","8.47","10.00","180","reward","1","html-keyboard-response","294","250613","0.0-4.0-2.0-1.0-0.10","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"351.80000001192093","81","48.54","50.00","30","reward","1","html-keyboard-response","297","252975","0.0-4.0-2.0-1.0-0.11","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"290.5","80","0.05","5.00","180","reward","0","html-keyboard-response","300","255271","0.0-4.0-2.0-1.0-0.12","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"342.40000000596046","81","19.86","20.00","7","reward","1","html-keyboard-response","303","257622","0.0-4.0-2.0-1.0-0.13","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"276.7000000178814","81","2.63","5.00","90","reward","0","html-keyboard-response","306","259908","0.0-4.0-2.0-1.0-0.14","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"312.7000000178814","80","19.98","20.00","90","reward","0","html-keyboard-response","309","262227","0.0-4.0-2.0-1.0-0.15","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"218.7000000178814","81","18.35","20.00","90","reward","0","html-keyboard-response","312","264453","0.0-4.0-2.0-1.0-0.16","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"324.90000000596046","80","9.71","10.00","30","reward","0","html-keyboard-response","315","266783","0.0-4.0-2.0-1.0-0.17","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"355.19999998807907","81","0.18","20.00","180","reward","0","html-keyboard-response","318","269144","0.0-4.0-2.0-1.0-0.18","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"346.40000000596046","80","0.26","5.00","30","reward","0","html-keyboard-response","321","271498","0.0-4.0-2.0-1.0-0.19","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"827.3999999761581","80","19.99","20.00","7","reward","1","html-keyboard-response","324","274331","0.0-4.0-2.0-1.0-0.20","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"297.90000000596046","80","18.69","20.00","7","reward","1","html-keyboard-response","327","276639","0.0-4.0-2.0-1.0-0.21","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"549.6999999880791","80","0.02","5.00","365","reward","1","html-keyboard-response","330","279194","0.0-4.0-2.0-1.0-0.22","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"340","81","10.53","20.00","90","reward","0","html-keyboard-response","333","281540","0.0-4.0-2.0-1.0-0.23","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"311.2999999821186","80","4.99","5.00","180","reward","0","html-keyboard-response","336","283858","0.0-4.0-2.0-1.0-0.24","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"354.90000000596046","80","0.53","10.00","30","reward","1","html-keyboard-response","339","286223","0.0-4.0-2.0-1.0-0.25","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"426.69999998807907","80","0.91","50.00","90","reward","0","html-keyboard-response","342","288655","0.0-4.0-2.0-1.0-0.26","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"330.5","81","4.24","5.00","180","reward","1","html-keyboard-response","345","290990","0.0-4.0-2.0-1.0-0.27","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"325.7000000178814","80","7.69","10.00","30","reward","0","html-keyboard-response","348","293323","0.0-4.0-2.0-1.0-0.28","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"477.5","80","4.67","5.00","7","reward","0","html-keyboard-response","351","295805","0.0-4.0-2.0-1.0-0.29","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"382.30000001192093","80","1.08","5.00","365","reward","1","html-keyboard-response","354","298195","0.0-4.0-2.0-1.0-0.30","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"361.7999999821186","80","3.85","20.00","7","reward","0","html-keyboard-response","357","300566","0.0-4.0-2.0-1.0-0.31","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"534.2999999821186","80","10.75","50.00","365","reward","0","html-keyboard-response","360","303110","0.0-4.0-2.0-1.0-0.32","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
